"num","id","classes","side","shares"
"1","field1","corner start","start",""
"2","field2","top","top",""
"3","field3","top","top","usa"
"4","field4","top","top",""
"5","field5","top","top",""
"6","field6","top","top",""
"7","field7","top","top","ko"
"8","field8","top","top",""
"9","field9","top","top",""
"10","field10","top","top",""
"11","field11","top","top","usa"
"12","field12","top","top",""
"13","field13","corner","",""
"14","field14","right","right",""
"15","field15","right","right",""
"16","field16","right","right",""
"17","field17","right","right",""
"18","field18","right","right",""
"19","field19","right","right",""
"20","field20","corner","",""
"21","field21","bottom","bottom",""
"22","field22","bottom","bottom","usa"
"23","field23","bottom","bottom",""
"24","field24","bottom","bottom",""
"25","field25","bottom","bottom",""
"26","field26","bottom","bottom","ko"
"27","field27","bottom","bottom",""
"28","field28","bottom","bottom",""
"29","field29","bottom","bottom",""
"30","field30","bottom","bottom","usa"
"31","field31","bottom","bottom",""
"32","field32","corner","",""
"33","field33","left","left",""
"34","field34","left","left",""
"35","field35","left","left",""
"36","field36","left","left",""
"37","field37","left","left",""
"38","field38","left","left",""
